peak_date,trough_date,peak_value,trough_value,drop_amount,days_to_trough
2001-01-18,2001-01-26,2701.0,2663.0,38.0,8.0
2001-01-19,2001-01-26,2769.0,2663.0,106.0,7.0
2001-04-18,2001-04-24,1950.0,1765.5,184.5,6.0
2001-04-19,2001-04-24,1970.0,1765.5,204.5,5.0
2001-04-20,2001-06-18,1997.0,1678.5,318.5,59.0
2001-05-21,2001-05-24,2058.5,2010.5,48.0,3.0
2001-05-22,2001-05-24,2080.5,2010.5,70.0,2.0
2001-05-23,2001-05-31,2058.0,1843.0,215.0,8.0
2001-10-11,2001-10-30,1406.0,1323.0,83.0,19.0
2001-10-12,2001-10-30,1426.0,1323.0,103.0,18.0
2001-10-17,2001-10-30,1464.0,1323.0,141.0,13.0
2001-11-06,2001-11-09,1537.5,1493.0,44.5,3.0
2001-11-07,2001-11-09,1563.0,1493.0,70.0,2.0
2001-11-08,2001-11-16,1586.0,1566.0,20.0,8.0
2001-11-14,2001-11-16,1623.0,1566.0,57.0,2.0
2001-12-05,2001-12-10,1733.5,1642.0,91.5,5.0
2001-12-06,2001-12-10,1738.0,1642.0,96.0,4.0
2001-12-07,2001-12-14,1735.0,1625.0,110.0,7.0
2002-01-07,2002-01-22,1702.0,1503.0,199.0,15.0
2002-01-09,2002-01-22,1717.0,1503.0,214.0,13.0
2002-03-08,2002-03-14,1568.0,1475.5,92.5,6.0
2002-03-11,2002-03-14,1575.0,1475.5,99.5,3.0
2002-08-16,2002-08-20,1006.5,1002.5,4.0,4.0
2002-08-19,2002-08-20,1029.5,1002.5,27.0,1.0
2002-10-15,2002-10-29,954.0,942.5,11.5,14.0
2002-10-16,2002-10-29,947.5,942.5,5.0,13.0
2002-10-17,2002-10-29,960.0,942.5,17.5,12.0
2002-10-18,2002-10-24,968.5,964.5,4.0,6.0
2002-10-21,2002-10-24,986.0,964.5,21.5,3.0
2002-11-07,2002-11-19,1074.5,1019.0,55.5,12.0
2002-11-18,2002-12-05,1079.5,1051.5,28.0,17.0
2002-11-21,2002-11-26,1121.5,1083.5,38.0,5.0
2002-11-22,2002-11-26,1124.5,1083.5,41.0,4.0
2002-11-25,2002-11-26,1135.5,1083.5,52.0,1.0
2002-11-27,2002-11-29,1145.0,1084.0,61.0,2.0
2003-01-06,2003-01-08,1072.0,1042.0,30.0,2.0
2003-01-07,2003-01-08,1085.5,1042.0,43.5,1.0
2003-01-08,2003-01-22,1074.5,999.5,75.0,14.0
2003-01-09,2003-01-13,1088.0,1077.5,10.5,4.0
2003-01-10,2003-01-13,1099.0,1077.5,21.5,3.0
2003-01-13,2003-01-22,1108.5,999.5,109.0,9.0
2003-03-13,2003-04-11,1031.5,1022.0,9.5,29.0
2003-03-14,2003-04-01,1044.5,1035.0,9.5,18.0
2003-03-17,2003-03-19,1077.5,1059.0,18.5,2.0
2003-03-18,2003-03-19,1086.5,1059.0,27.5,1.0
2003-03-19,2003-03-25,1094.0,1079.0,15.0,6.0
2003-03-20,2003-03-25,1090.5,1079.0,11.5,5.0
2003-04-21,2003-04-25,1092.0,1082.0,10.0,4.0
2003-04-22,2003-04-25,1106.5,1082.0,24.5,3.0
2003-04-23,2003-04-25,1118.0,1082.0,36.0,2.0
2003-04-24,2003-05-01,1118.0,1110.5,7.5,7.0
2003-04-29,2003-05-01,1129.5,1110.5,19.0,2.0
2003-05-05,2003-05-08,1155.5,1117.5,38.0,3.0
2003-05-28,2008-10-27,1186.0,1136.75,49.25,1979.0
2003-05-29,2003-06-09,1200.0,1188.0,12.0,11.0
2003-05-30,2003-06-03,1202.5,1202.0,0.5,4.0
2003-06-02,2003-06-09,1215.5,1188.0,27.5,7.0
2003-06-04,2003-06-09,1230.0,1188.0,42.0,5.0
2003-06-05,2003-06-09,1235.0,1188.0,47.0,4.0
2003-06-06,2003-06-13,1266.5,1201.0,65.5,7.0
2003-07-07,2003-07-10,1286.0,1262.0,24.0,3.0
2003-07-08,2003-07-10,1302.0,1262.0,40.0,2.0
2003-07-09,2003-07-10,1309.5,1262.0,47.5,1.0
2003-07-14,2003-07-21,1319.5,1232.0,87.5,7.0
2003-08-22,2003-09-30,1343.0,1303.0,40.0,39.0
2003-10-30,2003-11-11,1445.0,1402.0,43.0,12.0
2003-11-03,2003-11-11,1448.0,1402.0,46.0,8.0
2003-12-29,2004-01-02,1472.0,1460.5,11.5,4.0
2003-12-30,2004-01-02,1477.0,1460.5,16.5,3.0
2003-12-31,2004-02-05,1479.0,1477.0,2.0,36.0
2004-01-05,2004-02-05,1497.5,1477.0,20.5,31.0
2004-01-06,2004-02-05,1508.0,1477.0,31.0,30.0
2004-01-08,2004-01-09,1531.0,1514.5,16.5,1.0
2004-01-09,2004-02-05,1545.0,1477.0,68.0,27.0
2004-04-02,2004-04-07,1496.5,1495.0,1.5,5.0
2004-04-05,2004-04-07,1511.0,1495.0,16.0,2.0
2004-04-06,2004-04-16,1509.5,1462.5,47.0,10.0
2004-05-25,2004-06-03,1451.5,1441.5,10.0,9.0
2004-05-26,2004-06-03,1457.0,1441.5,15.5,8.0
2004-05-27,2004-06-03,1468.5,1441.5,27.0,7.0
2004-05-28,2004-06-03,1471.5,1441.5,30.0,6.0
2004-06-23,2004-06-28,1500.0,1488.5,11.5,5.0
2004-06-24,2004-06-28,1506.5,1488.5,18.0,4.0
2004-06-25,2004-06-28,1508.5,1488.5,20.0,3.0
2004-06-28,2004-07-02,1521.0,1477.0,44.0,4.0
2004-06-30,2004-07-02,1528.5,1477.0,51.5,2.0
2004-07-01,2004-07-19,1525.5,1389.5,136.0,18.0
2004-09-10,2004-09-28,1416.0,1399.0,17.0,18.0
2004-09-13,2004-09-16,1437.0,1430.0,7.0,3.0
