peak_date,trough_date,peak_value,trough_value,drop_amount,days_in_reversal
2000-09-20,2000-09-26,3874.0,3611.5,262.5,6.0
2000-09-28,2000-10-04,3780.0,3477.5,302.5,6.0
2000-10-05,2000-10-12,3537.0,3024.0,513.0,7.0
2000-10-16,2000-10-18,3334.0,3025.0,309.0,2.0
2000-10-20,2000-10-26,3555.5,3240.0,315.5,6.0
2000-10-27,2000-10-30,3314.0,3062.0,252.0,3.0
2000-11-03,2000-11-13,3387.0,2755.0,632.0,10.0
2000-11-15,2000-11-22,3116.5,2677.5,439.0,7.0
2000-11-27,2000-11-30,2769.0,2589.0,180.0,3.0
2000-12-01,2000-12-04,2683.5,2480.0,203.5,3.0
2000-12-06,2000-12-07,2725.0,2630.0,95.0,1.0
2000-12-11,2000-12-21,2995.0,2390.0,605.0,10.0
2000-12-22,2000-12-26,2474.0,2374.0,100.0,4.0
2000-12-28,2001-01-02,2452.5,2130.5,322.0,5.0
2001-01-04,2001-01-08,2464.5,2328.0,136.5,4.0
2001-01-12,2001-01-16,2617.0,2445.0,172.0,4.0
2001-01-24,2001-01-26,2711.5,2663.0,48.5,2.0
2001-01-30,2001-02-05,2672.0,2425.5,246.5,6.0
2001-02-06,2001-02-14,2547.5,2325.5,222.0,8.0
2001-02-15,2001-02-22,2437.0,1968.0,469.0,7.0
2001-02-26,2001-02-28,2113.0,1881.0,232.0,2.0
2001-03-01,2001-03-05,1973.0,1944.0,29.0,4.0
2001-03-07,2001-03-13,2032.0,1792.5,239.5,6.0
2001-03-14,2001-03-16,1699.5,1669.5,30.0,2.0
2001-03-19,2001-03-21,1759.0,1607.0,152.0,2.0
2001-03-23,2001-03-29,1784.0,1559.0,225.0,6.0
2001-03-30,2001-04-04,1621.5,1361.0,260.5,5.0
2001-04-06,2001-09-07,1437.0,1338.5,98.5,154.0
2001-04-12,2001-04-17,1731.5,1710.0,21.5,5.0
2001-04-19,2001-04-24,1970.0,1765.5,204.5,5.0
2001-04-26,2001-06-18,1770.5,1678.5,92.0,53.0
2001-05-02,2001-05-04,1992.5,1944.0,48.5,2.0
2001-05-08,2001-05-14,1949.0,1777.0,172.0,6.0
2001-05-22,2001-05-24,2028.5,2010.5,18.0,2.0
2001-05-25,2001-05-31,1956.5,1843.0,113.5,6.0
2001-06-01,2001-06-04,1856.5,1820.0,36.5,3.0
2001-06-07,2001-06-18,1964.0,1678.5,285.5,11.0
2001-06-21,2001-06-25,1793.0,1774.5,18.5,4.0
2001-06-29,2001-07-11,1883.5,1661.5,222.0,12.0
2001-07-13,2001-07-19,1797.0,1752.0,45.0,6.0
2001-07-20,2001-07-24,1670.5,1588.5,82.0,4.0
2001-07-27,2001-07-30,1706.5,1671.5,35.0,3.0
2001-08-02,2001-08-10,1775.5,1582.5,193.0,8.0
2001-08-14,2001-08-22,1633.0,1523.5,109.5,8.0
2001-08-27,2001-09-07,1562.5,1338.5,224.0,11.0
2001-09-10,2001-09-21,1380.0,1104.0,276.0,11.0
2001-09-25,2001-09-27,1229.5,1107.5,122.0,2.0
2001-10-05,2001-10-09,1287.5,1245.5,42.0,4.0
2001-10-12,2001-10-30,1337.0,1323.0,14.0,18.0
2001-10-16,2001-10-18,1419.0,1351.0,68.0,2.0
2001-10-26,2001-10-30,1450.0,1323.0,127.0,4.0
2001-11-07,2001-11-09,1510.0,1493.0,17.0,2.0
2001-11-14,2001-11-16,1623.0,1566.0,57.0,2.0
2001-11-19,2001-11-21,1629.0,1527.5,101.5,2.0
2001-11-26,2001-11-28,1623.5,1555.5,68.0,2.0
2001-11-30,2001-12-03,1582.5,1563.0,19.5,3.0
2001-12-06,2001-12-10,1738.0,1642.0,96.0,4.0
2001-12-12,2001-12-14,1685.0,1625.0,60.0,2.0
2001-12-18,2001-12-21,1667.0,1584.5,82.5,3.0
2001-12-28,2002-01-02,1645.5,1618.5,27.0,5.0
2002-01-04,2002-01-14,1704.5,1598.5,106.0,10.0
2002-01-15,2002-01-22,1679.5,1503.0,176.5,7.0
2002-01-25,2002-01-30,1576.5,1543.5,33.0,5.0
2002-01-31,2002-02-07,1561.0,1414.0,147.0,7.0
2002-02-11,2002-02-12,1481.0,1450.0,31.0,1.0
2002-02-14,2002-02-22,1512.0,1375.0,137.0,8.0
2002-02-26,2002-02-28,1382.5,1356.5,26.0,2.0
2002-03-06,2002-03-07,1525.0,1487.5,37.5,1.0
